ISO;Country;Subject Descriptor;Units;Scale;Country/Series-specific Notes;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;Estimates Start After
LTU;Lithuania;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;6.696;8.383;10.119;11.240;10.972;11.525;12.238;14.257;18.782;22.624;26.115;30.203;39.764;48.030;37.475;37.195;43.584;42.952;46.537;48.611;41.440;43.035;47.742;53.747;54.633;55.688;62.198;66.087;69.420;72.752;76.065;79.213;2020
LUX;Luxembourg;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;6.460;5.572;4.575;4.491;4.403;4.562;6.638;8.244;9.339;9.944;12.680;13.738;15.390;15.778;17.558;20.655;20.548;18.503;19.342;21.174;21.326;21.291;23.712;29.615;34.733;37.382;42.452;50.959;56.072;51.518;53.308;60.073;56.711;61.758;66.209;57.774;60.716;64.159;70.952;71.113;73.205;84.077;90.449;95.341;99.911;104.342;108.982;2020
MAC;Macao SAR;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;6.860;7.372;8.247;10.643;12.160;14.874;18.440;21.027;21.588;28.242;36.844;43.190;51.536;54.903;45.060;45.085;50.457;55.303;55.154;24.333;39.449;57.060;60.921;65.240;69.459;73.468;2020
MDG;Madagascar;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;5.202;4.759;4.785;4.686;3.906;3.803;4.348;3.213;3.189;3.176;3.931;3.255;3.715;4.063;3.522;3.838;4.932;4.263;4.402;4.278;4.629;5.438;5.352;6.372;5.065;5.859;6.396;8.525;10.725;9.617;9.983;11.552;11.579;12.424;12.523;11.323;11.849;13.176;13.974;14.519;13.837;14.746;15.972;17.283;18.524;19.776;21.091;2018
MWI;Malawi;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;2.146;2.146;2.046;2.121;2.095;1.962;2.048;2.013;2.314;2.639;2.999;3.821;3.120;3.591;2.081;2.423;3.956;4.619;3.036;3.080;3.023;2.967;3.496;3.211;3.476;3.656;3.998;4.431;5.321;6.195;6.957;7.984;5.981;5.432;6.055;6.402;5.492;6.230;6.911;7.663;8.488;9.268;9.598;9.930;10.341;10.779;11.383;2019
MYS;Malaysia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;26.757;27.321;29.278;32.745;37.087;34.090;30.303;34.529;37.845;41.678;47.236;53.514;64.424;72.858;81.121;96.750;109.839;109.098;78.609;86.203;102.149;101.054;109.833;120.025;135.869;150.345;170.412;202.733;241.763;211.854;258.641;302.184;318.910;327.869;342.868;301.355;301.255;319.109;358.713;364.684;338.276;387.093;417.209;453.228;487.996;525.042;564.641;2019
MDV;Maldives;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.063;0.073;0.087;0.094;0.113;0.134;0.158;0.149;0.178;0.201;0.231;0.262;0.306;0.346;0.382;0.466;0.527;0.652;0.693;0.756;0.801;0.767;0.828;1.052;1.227;1.163;1.575;1.868;2.272;2.345;2.588;2.629;2.885;3.286;3.690;4.098;4.367;4.747;5.293;5.632;3.755;4.536;5.252;6.035;6.547;7.051;7.588;2020
MLI;Mali;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;2.031;1.660;1.468;1.418;1.416;1.426;1.981;2.308;2.316;2.827;3.223;3.284;3.372;3.362;2.575;3.337;3.416;3.208;3.328;3.444;2.963;3.468;3.905;4.713;5.452;6.251;6.906;8.157;9.837;10.221;10.698;12.993;12.450;13.243;14.369;13.106;14.022;15.360;17.079;17.308;17.639;19.912;21.824;23.434;25.131;26.649;28.827;2018
MLT;Malta;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;3.380;3.446;3.489;3.697;3.858;4.075;4.089;4.478;5.455;6.102;6.415;6.811;7.989;9.127;8.721;9.043;9.637;9.468;10.551;11.629;11.093;11.698;13.217;14.872;15.218;14.559;16.476;17.901;19.041;20.288;21.632;23.050;2020
MHL;Marshall Islands;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.111;0.114;0.115;0.115;0.122;0.132;0.131;0.133;0.137;0.142;0.148;0.152;0.150;0.160;0.172;0.181;0.185;0.182;0.184;0.201;0.212;0.222;0.239;0.234;0.234;0.247;0.258;0.269;0.279;0.289;2019
MRT;Mauritania;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1.793;2.055;2.164;1.847;1.945;2.092;2.132;2.072;2.027;1.986;1.780;1.746;1.777;2.051;2.362;2.936;4.009;4.328;5.138;4.725;5.637;6.782;6.721;7.331;6.615;6.182;6.414;6.784;7.048;7.930;8.176;9.239;8.724;9.210;9.748;10.195;10.685;2018
MUS;Mauritius;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;1.225;1.163;1.116;1.182;1.094;1.107;1.495;1.893;2.196;2.256;2.706;2.977;3.352;3.455;3.835;4.380;4.529;4.253;4.296;4.536;4.869;4.817;5.055;6.073;6.869;6.775;7.029;8.150;9.990;9.129;10.004;11.518;11.669;12.130;12.803;11.692;12.232;13.259;14.182;14.048;11.396;12.212;13.390;14.077;14.599;15.117;15.700;2018
MEX;Mexico;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;228.606;293.610;213.077;173.714;204.860;217.388;150.513;165.058;201.926;246.079;290.402;348.139;403.733;500.795;527.811;360.096;410.973;500.416;526.522;600.225;707.909;756.693;772.110;729.335;782.243;877.477;975.383;1,052.697;1,109.987;900.047;1,057.801;1,180.487;1,201.094;1,274.444;1,315.356;1,171.870;1,078.493;1,158.912;1,222.346;1,268.868;1,076.163;1,192.480;1,251.085;1,307.814;1,368.868;1,430.835;1,494.678;2020
FSM;Micronesia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.221;0.218;0.207;0.219;0.220;0.233;0.241;0.242;0.245;0.240;0.250;0.253;0.257;0.263;0.280;0.297;0.311;0.327;0.317;0.319;0.316;0.332;0.367;0.402;0.413;0.408;0.401;0.421;0.438;0.450;0.462;0.474;2018
MDA;Moldova;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.864;1.110;1.158;1.441;1.694;1.928;1.697;1.172;1.315;1.481;1.662;1.981;2.598;2.988;3.408;4.401;6.055;5.438;6.977;8.417;8.708;9.496;9.510;7.726;8.072;9.670;11.309;11.956;11.500;11.998;12.577;13.210;13.875;14.573;15.398;2019
MNG;Mongolia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;3.188;3.336;3.463;3.590;3.316;3.851;4.250;4.776;4.797;4.997;3.131;3.297;1.831;0.901;1.083;1.697;1.576;1.381;1.315;1.236;1.329;1.485;1.634;1.864;2.319;2.523;3.414;4.235;5.623;4.584;7.185;10.410;12.278;12.582;12.227;11.750;11.159;11.426;13.138;13.997;13.137;14.233;15.619;16.910;18.132;19.448;20.868;2020
MNE;Montenegro;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.966;1.150;1.269;1.681;2.073;2.261;2.724;3.686;4.564;4.171;4.146;4.544;4.090;4.466;4.595;4.055;4.376;4.855;5.509;5.543;4.790;5.651;6.106;6.458;6.774;7.092;7.426;2020
MAR;Morocco;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;21.998;17.860;18.028;16.296;14.904;15.043;19.864;21.911;25.947;26.706;30.180;32.286;33.712;31.656;35.605;39.029;43.162;39.147;41.806;41.632;38.859;39.460;42.238;52.064;59.626;62.343;68.641;79.041;92.507;92.897;93.217;101.371;98.266;106.826;110.081;101.179;103.312;109.683;118.096;119.701;113.548;124.003;131.309;138.351;145.820;153.764;161.960;2019
MOZ;Mozambique;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;4.615;3.585;3.662;3.280;3.417;4.516;5.301;2.395;2.105;2.199;3.529;3.704;2.584;2.651;2.848;2.959;4.163;4.976;5.625;5.928;5.390;5.310;5.626;6.254;7.589;8.512;9.303;10.534;12.640;12.261;11.418;14.382;16.257;16.968;17.623;15.951;11.937;13.150;14.710;15.195;14.385;13.957;14.889;16.635;19.080;21.914;23.594;2019
MMR;Myanmar;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;5.154;6.439;7.736;7.131;6.921;8.881;10.754;12.126;13.585;17.855;25.470;30.864;38.084;53.916;59.000;60.903;63.153;62.655;60.090;61.267;66.699;68.802;81.257;76.195;79.415;85.204;91.807;98.922;106.654;2020
NAM;Namibia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;2.838;2.854;3.014;2.891;3.254;3.503;3.494;3.636;3.215;3.384;3.911;3.550;3.369;4.932;6.617;7.258;7.984;8.730;8.496;8.915;11.281;12.423;13.016;12.168;12.434;11.450;10.719;12.883;13.672;12.541;10.564;11.381;12.023;12.582;13.128;13.705;14.322;2020
NRU;Nauru;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.032;0.031;0.029;0.023;0.037;0.044;0.047;0.066;0.097;0.099;0.105;0.087;0.100;0.110;0.124;0.119;0.114;0.133;0.143;0.148;0.151;0.153;0.157;2019
NPL;Nepal;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;2.263;2.647;2.675;2.927;3.096;3.215;3.499;3.629;4.279;4.326;4.452;4.872;4.426;4.754;4.965;5.391;5.557;6.040;6.006;6.177;6.551;6.734;6.832;7.234;8.315;9.351;10.339;11.803;14.342;14.696;18.293;21.733;21.703;22.161;22.722;24.361;24.524;28.972;33.112;34.187;34.465;36.084;38.679;42.220;45.761;49.392;53.285;2020
NLD;Netherlands;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;193.758;162.400;157.338;153.179;142.578;144.655;201.599;246.928;264.223;260.532;321.405;331.097;366.004;355.931;382.550;452.710;450.625;417.329;438.610;447.493;417.664;431.590;473.527;579.925;658.081;685.727;733.994;848.659;951.766;870.572;848.073;905.111;839.455;877.186;892.398;765.650;783.844;833.575;914.458;907.151;909.503;1,012.598;1,073.229;1,113.023;1,150.973;1,189.542;1,229.129;2019
NZL;New Zealand;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;22.520;23.439;23.205;22.453;22.347;22.508;27.390;36.927;45.442;44.062;45.774;43.446;41.525;44.797;52.873;62.214;69.062;68.889;56.778;58.849;54.140;53.107;62.046;82.469;101.577;113.206;109.697;134.836;135.360;121.755;145.288;166.944;175.044;187.105;200.139;176.193;185.962;203.817;209.827;210.224;209.329;243.332;253.908;265.463;279.186;294.172;309.909;2020
NIC;Nicaragua;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;1.832;2.156;2.497;2.900;3.966;3.854;5.800;3.409;1.499;2.082;0.519;3.678;3.894;3.726;3.861;4.140;4.308;4.390;4.635;4.856;5.109;5.335;5.224;5.322;5.793;6.321;6.764;7.423;8.497;8.297;8.759;9.774;10.532;10.983;11.880;12.757;13.286;13.786;13.064;12.535;12.146;12.283;12.676;12.992;13.290;13.669;14.217;2019
NER;Niger;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;3.531;3.056;2.840;2.538;2.056;2.027;2.680;3.143;3.210;3.068;3.491;3.271;3.372;3.041;1.935;2.296;2.397;2.285;2.639;2.532;2.235;2.442;2.772;3.382;3.746;4.372;4.743;5.716;7.279;7.324;7.838;8.754;9.412;10.206;10.830;9.684;10.350;11.185;12.850;12.912;13.698;15.899;18.528;21.047;22.930;24.861;26.835;2019
NGA;Nigeria;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;62.165;60.131;52.275;56.807;80.128;132.230;172.686;187.866;209.677;57.477;67.824;73.128;93.983;102.935;130.345;169.645;222.791;262.215;330.260;297.458;369.062;414.095;460.952;514.966;568.499;492.437;404.649;375.745;421.737;448.120;429.423;514.049;588.419;668.853;757.212;853.809;964.232;2019
MKD;North Macedonia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;2.443;2.687;3.561;4.687;4.642;3.928;3.764;3.867;3.774;3.709;3.991;4.946;5.684;6.257;6.860;8.337;9.912;9.400;9.415;10.499;9.751;10.824;11.378;10.067;10.686;11.336;12.694;12.550;12.288;13.821;14.855;15.749;16.681;17.645;18.658;2020
NOR;Norway;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;64.439;63.597;62.647;61.627;62.058;65.417;78.693;94.231;101.901;102.634;119.791;121.872;130.838;120.579;127.132;152.031;163.520;161.357;154.163;162.285;171.246;173.973;195.525;228.858;264.510;308.884;345.579;400.939;462.250;386.188;428.757;498.283;509.506;522.762;498.410;385.802;368.827;398.394;437.000;405.510;362.009;444.519;463.201;477.476;489.498;502.236;515.685;2018
OMN;Oman;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;6.342;7.719;8.100;8.491;9.358;10.395;8.229;8.628;8.386;9.372;11.686;11.341;12.452;12.494;12.919;13.803;15.277;15.837;13.997;15.593;19.507;19.452;20.143;21.634;24.764;31.082;37.216;42.085;60.905;48.388;57.048;68.017;76.616;78.784;81.077;68.919;65.481;70.598;79.789;76.331;63.192;74.115;79.283;81.264;83.280;85.207;87.738;2019
PAK;Pakistan;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;30.938;36.599;40.004;37.350;40.549;40.545;41.522;43.401;49.981;52.110;52.298;59.413;63.563;67.274;67.813;79.250;82.758;81.598;81.224;76.919;79.653;77.644;78.258;89.943;105.562;117.798;137.267;152.398;169.726;167.125;176.738;213.308;223.119;230.644;243.940;270.170;278.023;304.603;313.073;276.114;262.799;n/a;n/a;n/a;n/a;n/a;n/a;2020
PLW;Palau;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.146;0.157;0.163;0.154;0.165;0.185;0.189;0.195;0.198;0.184;0.184;0.193;0.212;0.224;0.244;0.279;0.297;0.288;0.285;0.280;0.254;0.229;0.255;0.296;0.307;0.319;0.332;2019
PAN;Panama;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;4.104;4.645;5.132;5.269;5.500;5.818;6.046;6.073;5.250;5.264;5.723;6.292;7.153;7.812;8.330;8.515;10.040;10.849;11.762;12.326;12.502;12.704;13.204;13.915;15.255;16.638;18.438;21.296;25.156;27.117;29.440;34.686;40.430;45.600;49.921;54.092;57.908;62.203;64.928;66.788;52.938;59.377;63.039;67.514;72.308;77.442;82.940;2019
PNG;Papua New Guinea;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;4.087;4.011;3.805;3.799;3.509;3.250;3.535;3.885;5.400;5.238;4.757;5.596;6.466;7.349;8.077;7.149;7.608;7.272;5.558;5.072;5.169;4.531;4.387;5.488;6.279;7.339;8.355;9.545;11.671;11.619;14.251;17.985;21.295;21.261;23.211;21.723;20.759;22.743;24.110;24.829;23.575;24.536;24.916;25.372;26.545;27.759;30.109;2019
PRY;Paraguay;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;4.095;5.220;5.470;6.069;4.931;4.214;5.032;4.216;5.584;4.046;4.904;6.984;7.158;7.249;7.871;9.062;9.788;9.965;9.260;8.837;8.856;8.496;7.196;7.691;9.624;10.738;13.430;17.856;24.577;22.341;27.108;33.696;33.308;38.736;40.277;36.164;36.054;39.009;40.385;38.145;35.875;37.836;40.183;42.953;45.448;47.949;50.586;2019
PER;Peru;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;20.190;24.398;24.259;18.863;19.442;16.823;25.241;41.681;32.978;40.699;28.326;33.988;35.377;34.330;43.225;51.380;53.412;56.281;53.918;48.719;50.414;51.034;53.954;58.537;66.126;74.232;87.459;102.187;121.754;121.493;148.931;170.983;192.882;202.091;202.308;191.316;194.950;214.061;225.141;230.746;203.772;225.918;240.911;255.001;266.414;278.127;290.849;2020
PHL;Philippines;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;37.082;40.735;42.441;37.953;35.860;34.973;34.129;37.932;43.293;48.652;50.508;51.784;60.422;62.037;73.159;84.644;94.650;94.106;74.492;85.640;83.667;78.921;84.307;87.039;95.002;107.422;127.653;155.980;181.007;176.132;208.369;234.217;261.920;283.903;297.484;306.446;318.627;328.481;346.842;376.795;362.243;402.638;434.652;469.247;506.697;547.147;590.856;2020
POL;Poland;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;56.731;53.752;65.315;75.555;75.656;70.915;73.822;63.840;68.747;67.027;62.206;80.610;88.888;90.544;103.887;139.363;156.993;157.493;172.389;168.130;171.613;190.805;199.070;217.829;255.292;306.304;344.627;429.021;533.600;439.794;479.834;528.292;498.517;521.013;542.602;477.488;472.256;526.643;587.433;595.772;594.180;642.121;697.432;752.831;805.910;861.827;924.198;2020
PRT;Portugal;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;32.607;32.477;30.678;28.267;25.951;27.231;37.869;47.387;55.435;59.806;79.439;89.904;108.119;95.139;99.692;118.182;122.655;117.211;124.124;127.597;118.658;121.605;134.700;165.185;189.296;197.363;208.767;240.524;263.388;244.402;238.308;245.075;216.361;226.437;229.961;199.414;206.369;221.280;242.423;239.537;231.348;257.391;277.409;289.564;301.361;312.003;322.601;2020
PRI;Puerto Rico;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;14.436;15.956;16.764;17.277;19.163;20.289;21.969;23.878;26.178;28.267;30.604;32.287;34.630;36.923;39.691;42.647;45.341;48.187;54.086;57.841;61.702;69.669;72.546;75.834;80.322;83.915;87.276;89.524;93.639;96.386;98.381;100.352;101.565;102.450;102.446;103.376;104.337;103.446;100.989;104.989;95.851;100.684;102.907;104.470;105.411;106.341;107.592;2019
QAT;Qatar;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;6.665;7.374;6.467;5.506;5.708;5.339;4.214;4.441;4.260;4.502;6.266;5.579;6.384;5.804;5.946;6.861;7.761;9.976;8.488;11.266;18.085;17.498;19.334;23.716;30.651;44.636;58.629;75.987;112.621;88.196;119.707;167.775;186.834;198.728;206.225;161.740;151.732;161.099;183.335;175.838;146.090;166.031;174.381;178.282;183.595;190.777;198.840;2019
ROU;Romania;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;46.053;55.319;55.375;48.401;39.111;48.286;52.290;58.477;60.538;54.236;38.516;29.070;19.779;26.624;30.376;35.838;35.692;35.644;42.543;35.953;37.281;40.395;46.065;57.806;74.974;98.454;122.024;174.589;214.317;174.102;166.309;183.326;170.636;190.800;199.961;177.731;188.130;211.696;241.456;249.695;247.214;289.130;316.339;339.749;362.800;386.575;410.819;2019
RUS;Russia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;91.670;196.227;293.768;335.777;412.685;433.704;287.672;209.657;278.264;328.475;370.062;461.518;633.294;817.717;1,060.901;1,393.416;1,779.109;1,307.927;1,633.111;2,046.621;2,191.484;2,288.428;2,048.836;1,356.704;1,280.648;1,575.140;1,653.006;1,689.302;1,473.583;1,710.734;1,777.102;1,826.961;1,879.532;1,938.996;2,004.145;2020
RWA;Rwanda;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;1.259;1.429;1.525;1.629;1.560;1.853;2.100;2.331;2.495;2.605;2.491;1.837;1.950;1.881;1.195;1.239;1.343;1.808;1.931;1.797;1.718;1.676;1.673;1.847;2.099;2.590;3.327;4.082;5.201;5.694;6.148;6.911;7.687;7.852;8.272;8.585;8.734;9.253;9.629;10.123;10.372;10.633;11.288;12.426;13.620;14.917;16.133;2018
WSM;Samoa;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.124;0.116;0.119;0.110;0.108;0.103;0.109;0.121;0.135;0.138;0.177;0.172;0.188;0.193;0.154;0.236;0.251;0.273;0.279;0.255;0.264;0.266;0.282;0.333;0.408;0.474;0.503;0.554;0.667;0.603;0.663;0.737;0.761;0.770;0.757;0.788;0.799;0.832;0.837;0.852;0.804;0.752;0.777;0.815;0.862;0.904;0.943;2020
SMR;San Marino;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1.714;1.789;1.910;2.189;2.403;2.062;1.883;1.813;1.606;1.678;1.674;1.420;1.468;1.528;1.656;1.616;1.505;1.688;1.787;1.838;1.880;1.929;1.978;2019
STP;São Tomé and Príncipe;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.069;0.084;0.081;0.076;0.079;0.083;0.117;0.117;0.100;0.099;0.120;0.108;0.096;0.127;0.132;0.104;0.136;0.093;0.073;0.078;0.077;0.072;0.080;0.096;0.104;0.125;0.133;0.145;0.188;0.188;0.197;0.233;0.253;0.303;0.349;0.318;0.348;0.376;0.416;0.422;0.418;0.485;0.534;0.577;0.625;0.676;0.738;2019
SAU;Saudi Arabia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;164.540;184.291;153.240;129.181;119.631;103.894;86.886;85.582;88.138;95.217;117.473;132.047;136.905;132.791;134.995;143.152;158.451;165.742;146.775;161.717;189.515;184.137;189.606;215.808;258.742;328.206;376.398;415.687;519.797;429.098;528.207;671.239;735.975;746.647;756.350;654.270;644.936;688.586;786.522;792.967;701.467;804.921;827.133;854.717;889.176;923.844;966.264;2019
SEN;Senegal;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;4.338;3.934;3.850;3.435;3.350;3.668;5.188;6.241;6.173;6.083;7.078;6.955;7.435;7.014;4.746;6.026;6.300;5.867;6.416;6.599;6.016;6.508;7.001;8.767;10.072;11.015;11.699;13.996;16.852;16.128;16.134;17.811;17.672;18.919;19.802;17.777;19.035;20.989;23.127;23.307;24.448;27.927;30.521;34.694;38.494;41.505;45.374;2019
SRB;Serbia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;9.318;12.321;16.188;21.234;24.760;27.515;32.625;43.425;52.130;45.188;41.397;49.314;43.330;48.428;47.095;39.656;40.693;44.179;50.641;51.475;52.960;60.435;65.107;69.532;74.340;79.530;85.021;2019
SYC;Seychelles;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.147;0.154;0.148;0.147;0.151;0.169;0.208;0.249;0.284;0.305;0.369;0.374;0.434;0.474;0.486;0.508;0.503;0.563;0.608;0.623;0.615;0.622;0.698;0.706;0.839;0.919;1.016;1.034;0.998;0.847;0.970;1.018;1.060;1.328;1.343;1.377;1.426;1.528;1.542;1.580;1.131;0.948;1.013;1.199;1.407;1.716;2.054;2019
SLE;Sierra Leone;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;1.701;1.823;2.050;1.782;2.062;1.755;1.314;1.145;1.877;1.724;0.948;1.138;0.992;1.122;1.331;1.273;1.374;1.240;0.981;0.977;0.941;1.084;1.250;1.380;1.439;1.610;1.884;2.159;2.511;2.454;2.578;2.942;3.802;4.916;5.007;4.252;3.855;3.713;4.085;4.119;4.204;4.420;4.445;4.525;4.709;4.929;5.178;2018
SGP;Singapore;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;12.082;14.367;15.879;18.011;19.563;18.573;18.780;21.629;26.551;31.436;38.892;45.465;52.131;60.604;73.689;87.813;96.293;100.124;85.728;86.287;96.077;89.794;92.538;97.646;115.034;127.808;148.627;180.942;193.617;194.150;239.808;279.357;295.093;307.576;314.864;307.999;318.753;343.332;375.963;374.390;339.981;374.394;391.912;410.340;429.361;448.790;469.257;2019
SVK;Slovak Republic;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;13.726;15.837;20.034;21.659;21.927;22.825;20.867;20.730;21.421;24.888;34.085;43.190;49.116;57.492;77.239;97.170;89.302;90.473;99.235;94.589;98.878;101.351;88.512;89.691;95.461;105.750;105.091;104.088;117.664;127.347;135.459;143.038;150.566;157.657;2019
